order_id,order_date,customer_name,customer_country,product_name,category,supplier_name,warehouse_name,quantity_ordered,unit_price,total_price,shipment_id,transporter_name,shipment_date,delivery_date,delivery_status
10001,2024-07-09,NIO Inc,India,Medical Tablet,Healthcare,Quantum Supplies,Middle East Hub,168,236.19,39679.92,SHP10001,DHL Express,2024-07-13,2024-07-15,Delivered
10002,2024-12-03,Intel Corp,Japan,Lithium Battery,Energy,Quantum Supplies,Middle East Hub,142,196.65,27924.3,SHP10002,Maersk Shipping,2024-12-06,2024-12-07,Delivered
10003,2025-02-25,Microsoft Devices,India,Fuel Injector,Automotive,Nova Industrial,West Coast DC,65,269.51,17518.149999999998,SHP10003,DHL Express,2025-03-02,2025-03-03,Delivered
10004,2025-05-21,Siemens AG,India,Fuel Injector,Automotive,Nova Industrial,Central Europe DC,175,269.51,47164.25,SHP10004,Maersk Shipping,2025-05-23,2025-05-29,Delayed
10005,2024-12-08,Huawei Tech,India,Medical Tablet,Healthcare,Quantum Supplies,East Coast DC,122,236.19,28815.18,SHP10005,UPS Global,2024-12-09,2024-12-09,Delivered
10006,2024-07-22,Ford Motors,South Korea,Inverter,Energy,Nova Industrial,Asia Hub,126,370.02,46622.52,SHP10006,UPS Global,2024-07-26,2024-07-28,Delivered
10007,2025-03-17,Ford Motors,South Korea,ECG Sensor,Healthcare,GreenLeaf Components,Central Europe DC,36,311.75,11223.0,SHP10007,FedEx Logistics,2025-03-22,2025-03-23,Delivered
10008,2024-09-08,Amazon Robotics,Germany,Energy Meter,Energy,GreenLeaf Components,Central Europe DC,33,305.35,10076.550000000001,SHP10008,Maersk Shipping,2024-09-12,2024-09-18,Delayed
10009,2025-01-04,Amazon Robotics,Germany,Fuel Injector,Automotive,Nova Industrial,Asia Hub,12,269.51,3234.12,SHP10009,UPS Global,2025-01-09,2025-01-10,Delivered
10010,2024-01-18,Tesla Motors,UK,Brake Module,Automotive,Global Tech Parts,Central Europe DC,107,224.49,24020.43,SHP10010,FedEx Logistics,2024-01-20,2024-01-25,Delivered
10011,2025-04-09,Samsung Electronics,China,Brake Module,Automotive,Global Tech Parts,Asia Hub,46,224.49,10326.54,SHP10011,UPS Global,2025-04-14,2025-04-21,Delayed
10012,2024-08-04,Amazon Robotics,Germany,Smart Thermometer,Healthcare,Nova Industrial,East Coast DC,159,156.69,24913.71,SHP10012,FedEx Logistics,2024-08-05,2024-08-07,Delivered
10013,2025-06-14,Apple Inc,UK,Inverter,Energy,Nova Industrial,Central Europe DC,63,370.02,23311.26,SHP10013,Maersk Shipping,2025-06-18,2025-06-22,Delivered
10014,2024-08-03,General Electric,China,Light Controller,Home Automation,BlueWave Materials,Asia Hub,145,117.98,17107.100000000002,SHP10014,Maersk Shipping,2024-08-06,2024-08-08,Delivered
10015,2025-01-11,Philips Healthcare,UK,Blood Pressure Monitor,Healthcare,GreenLeaf Components,West Coast DC,46,82.65,3801.9,SHP10015,Maersk Shipping,2025-01-12,2025-01-19,Delayed
10016,2024-05-12,BYD Auto,USA,Lithium Battery,Energy,Quantum Supplies,East Coast DC,99,196.65,19468.350000000002,SHP10016,DHL Express,2024-05-17,2024-05-21,Delivered
10017,2025-05-06,Sony Corp,Netherlands,ECG Sensor,Healthcare,GreenLeaf Components,Asia Hub,145,311.75,45203.75,SHP10017,FedEx Logistics,2025-05-11,2025-05-17,Delayed
10018,2024-12-04,Apple Inc,UK,Voice Assistant,Home Automation,Nova Industrial,West Coast DC,124,103.19,12795.56,SHP10018,DHL Express,2024-12-07,2024-12-07,Delivered
10019,2025-05-01,NIO Inc,India,WiFi Module,Electronics,BlueWave Materials,Central Europe DC,75,358.42,26881.5,SHP10019,DHL Express,2025-05-06,2025-05-06,Delivered
10020,2024-12-27,Toyota Motors,South Korea,Energy Meter,Energy,GreenLeaf Components,Middle East Hub,75,305.35,22901.25,SHP10020,UPS Global,2024-12-30,2025-01-02,Delivered
10021,2024-01-30,Toyota Motors,South Korea,Sensor Module,Electronics,Nova Industrial,Central Europe DC,104,43.17,4489.68,SHP10021,DHL Express,2024-02-02,2024-02-07,Delivered
10022,2025-06-08,Intel Corp,Japan,Fuel Injector,Automotive,Nova Industrial,Central Europe DC,59,269.51,15901.09,SHP10022,Maersk Shipping,2025-06-11,2025-06-18,Delayed
10023,2024-11-19,Ford Motors,South Korea,Light Controller,Home Automation,BlueWave Materials,Middle East Hub,193,117.98,22770.14,SHP10023,DHL Express,2024-11-22,2024-11-23,Delivered
10024,2025-08-22,Huawei Tech,India,Voice Assistant,Home Automation,Nova Industrial,Asia Hub,5,103.19,515.95,SHP10024,UPS Global,2025-08-26,2025-08-28,Delivered
10025,2025-08-13,Huawei Tech,India,Lithium Battery,Energy,Quantum Supplies,Middle East Hub,67,196.65,13175.550000000001,SHP10025,UPS Global,2025-08-14,2025-08-17,Delivered
10026,2024-03-13,Siemens AG,India,WiFi Module,Electronics,BlueWave Materials,West Coast DC,68,358.42,24372.56,SHP10026,Maersk Shipping,2024-03-14,2024-03-15,Delivered
10027,2025-04-14,Intel Corp,Japan,Brake Module,Automotive,Global Tech Parts,Asia Hub,145,224.49,32551.050000000003,SHP10027,FedEx Logistics,2025-04-15,2025-04-17,Delivered
10028,2024-12-13,Panasonic Corp,Netherlands,PCB Board,Electronics,Quantum Supplies,East Coast DC,48,435.1,20884.800000000003,SHP10028,Maersk Shipping,2024-12-15,2024-12-22,Delayed
10029,2024-04-10,Microsoft Devices,India,Oximeter,Healthcare,Sunrise Electronics,Asia Hub,18,192.69,3468.42,SHP10029,Maersk Shipping,2024-04-15,2024-04-17,Delivered
10030,2025-04-02,Siemens AG,India,Thermostat,Home Automation,Sunrise Electronics,Central Europe DC,111,418.73,46479.03,SHP10030,Maersk Shipping,2025-04-04,2025-04-04,Delivered
10031,2025-06-11,LG Electronics,Germany,Engine Sensor,Automotive,Global Tech Parts,Middle East Hub,169,162.56,27472.64,SHP10031,FedEx Logistics,2025-06-12,2025-06-16,Delivered
10032,2024-01-10,Philips Healthcare,UK,Medical Tablet,Healthcare,Quantum Supplies,Asia Hub,7,236.19,1653.33,SHP10032,FedEx Logistics,2024-01-12,2024-01-13,Delivered
10033,2024-04-14,Apple Inc,UK,EV Charger,Automotive,Sunrise Electronics,Middle East Hub,70,103.95,7276.5,SHP10033,UPS Global,2024-04-16,2024-04-17,Delivered
10034,2025-02-21,Bosch GmbH,UK,Medical Tablet,Healthcare,Quantum Supplies,East Coast DC,14,236.19,3306.66,SHP10034,FedEx Logistics,2025-02-26,2025-03-05,Delayed
10035,2024-10-01,Huawei Tech,India,GPS Unit,Automotive,GreenLeaf Components,West Coast DC,134,156.25,20937.5,SHP10035,DHL Express,2024-10-03,2024-10-04,Delivered
10036,2025-03-23,Intel Corp,Japan,Microcontroller,Electronics,Sunrise Electronics,Middle East Hub,132,90.66,11967.119999999999,SHP10036,FedEx Logistics,2025-03-24,2025-03-31,Delayed
10037,2024-09-23,Microsoft Devices,India,Fuel Injector,Automotive,Nova Industrial,Middle East Hub,62,269.51,16709.62,SHP10037,FedEx Logistics,2024-09-26,2024-10-01,Delivered
